Token,Currency,Timestamp,AskPrice,AskVolume,BidPrice,BidVolume,DateTime,Date,BestBuy,BestSell,Spread,Reference_Price
BTCUSDT,USDT,1735050975.913646,96932.0,0.27659,96931.99,2.33127,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96932.2,0.00011,96930.76,0.20654,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96933.6,0.0413,96930.72,6e-05,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96935.99,0.00018,96928.0,0.0295,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96936.0,0.0367,96927.59,0.42801,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96936.12,0.00011,96927.57,0.42812,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96936.62,6e-05,96927.56,0.00763,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96938.77,7e-05,96927.4,0.05158,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96938.78,0.00019,96927.2,0.0413,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
BTCUSDT,USDT,1735050975.913646,96939.99,0.00013,96926.73,0.51683,2024-12-24T18:06:15.913653,2024-12-24,96931.99,96932.0,0.00999999999476131,96931.995
