Item,Timestamp,DateTime,Date,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,Total_Ask_Volume,Total_Bid_Volume,Best_Bid_Price,Best_Ask_Price,Spread,Reference_Price
BTCUSDT,1735061207784,2024-12-24T17:26:47.784000,2024-12-24,98924.51,0.09717598,98924.5,0.03933171,0.6510924100000001,1.3990046699999994,98924.5,98924.51,0.0099999999947613,98924.51
BTCUSDT,1735061256383,2024-12-24T17:27:36.383000,2024-12-24,98980.31,0.00249591,98980.3,0.63361947,0.33071112,3.385406880000001,98980.3,98980.31,0.0099999999947613,98980.31
BTCUSDT,1735061264477,2024-12-24T17:27:44.477000,2024-12-24,98976.54,0.0615,98950.32,0.47634199,0.4998158299999999,2.0715485000000005,98950.32,98976.54,26.21999999998661,98950.32
BTCUSDT,1735061288778,2024-12-24T17:28:08.778000,2024-12-24,98980.29,0.04966161,98980.28,0.03210762,0.48461835,1.65694354,98980.28,98980.29,0.0099999999947613,98980.28
BTCUSDT,1735061313539,2024-12-24T17:28:33.539000,2024-12-24,98976.07,0.0962,98976.06,0.55633,0.38727376,2.26876578,98976.06,98976.07,0.0100000000093132,98976.06
BTCUSDT,1735061329271,2024-12-24T17:28:49.271000,2024-12-24,98950.67,0.0625,98950.66,0.0075964,0.5138149599999999,1.45250492,98950.66,98950.67,0.0099999999947613,98950.67
BTCUSDT,1735061339620,2024-12-24T17:28:59.620000,2024-12-24,98939.33,0.0362,98939.32,0.49651535,0.5843225499999999,2.37609762,98939.32,98939.33,0.0099999999947613,98939.33
BTCUSDT,1735061345025,2024-12-24T17:29:05.025000,2024-12-24,98939.33,0.0791,98939.32,0.00016136,0.5827185800000001,2.63286501,98939.32,98939.33,0.0099999999947613,98939.32
BTCUSDT,1735061355388,2024-12-24T17:29:15.388000,2024-12-24,98884.5,0.0787,98884.49,0.00172126,1.29532214,3.75911767,98884.49,98884.5,0.0099999999947613,98884.49
BTCUSDT,1735061369334,2024-12-24T17:29:29.334000,2024-12-24,98810.8,0.05715199,98777.0,9.897e-05,1.43395766,4.32987267,98777.0,98810.8,33.80000000000291,98777.0
BTCUSDT,1735061387775,2024-12-24T17:29:47.775000,2024-12-24,98715.23,0.08810447,98715.22,0.47424348,1.25111618,2.2065395800000003,98715.22,98715.23,0.0099999999947613,98715.22
BTCUSDT,1735061403545,2024-12-24T17:30:03.545000,2024-12-24,98715.23,0.10601755,98715.22,0.004983,1.6687759700000002,1.80986223,98715.22,98715.23,0.0099999999947613,98715.22
BTCUSDT,1735061409832,2024-12-24T17:30:09.832000,2024-12-24,98715.23,0.0466997,98715.22,0.46331301,1.42477624,2.2703414100000003,98715.22,98715.23,0.0099999999947613,98715.23
BTCUSDT,1735061437279,2024-12-24T17:30:37.279000,2024-12-24,98642.74,0.07714001,98639.77,0.00516,1.48289851,2.79286325,98639.77,98642.74,2.970000000001164,98642.73
BTCUSDT,1735061442241,2024-12-24T17:30:42.241000,2024-12-24,98629.25,0.07605572,98629.24,0.0083756,1.61308368,2.62491186,98629.24,98629.25,0.0099999999947613,98629.24
BTCUSDT,1735061478224,2024-12-24T17:31:18.224000,2024-12-24,98665.7,0.04240864,98665.69,0.02237119,1.3076840199999995,1.80265398,98665.69,98665.7,0.0099999999947613,98665.69
BTCUSDT,1735061483183,2024-12-24T17:31:23.183000,2024-12-24,98665.7,0.0528833,98665.69,0.07696094,1.1433443399999998,1.6570431099999996,98665.69,98665.7,0.0099999999947613,98665.7
BTCUSDT,1735061493991,2024-12-24T17:31:33.991000,2024-12-24,98613.56,0.0453,98613.55,0.461,1.4754025200000005,3.04061182,98613.55,98613.56,0.0099999999947613,98613.55
BTCUSDT,1735061507935,2024-12-24T17:31:47.935000,2024-12-24,98613.54,0.0148,98565.52,0.0294,1.55517454,4.40561992,98565.52,98613.54,48.01999999998952,98578.02
BTCUSDT,1735061510175,2024-12-24T17:31:50.175000,2024-12-24,98565.5,0.0317,98565.48,0.1533,1.4695040600000002,4.44161331,98565.48,98565.5,0.0200000000040745,98583.73
BTCUSDT,1735061524140,2024-12-24T17:32:04.140000,2024-12-24,98601.58,0.0262,98589.56,0.51306323,1.12695712,3.1631187,98589.56,98601.58,12.020000000004076,98589.56
BTCUSDT,1735061534039,2024-12-24T17:32:14.039000,2024-12-24,98605.86,0.05372545,98589.59,0.12330822,1.3472529300000002,3.51074371,98589.59,98605.86,16.270000000004075,98589.59
BTCUSDT,1735061547979,2024-12-24T17:32:27.979000,2024-12-24,98639.99,0.0781,98605.95,0.37659321,1.7870733699999999,4.015316039999999,98605.95,98639.99,34.04000000000815,98605.96
